Rank,Site,SNI,HTTP,DNS
180001,dailygrail.com,open,open,open
180002,seniorsmeet.com,open,open,open
180003,bookmarkkab.asia,open,open,open
180004,rvc.ac.uk,open,open,open
180005,infolocale.fr,open,open,open
180006,dvit.me,open,open,open
180007,ingresse.com,open,open,open
180008,adwdiabetes.com,open,open,open
180009,pravdoryb.info,open,open,open
180010,ko-tube.com,open,blocked,open
180011,dressupgal.com,open,blocked,open
180012,gazinatacado.com.br,open,open,open
180013,waptrick.me,open,open,open
180014,conn.tw,open,open,open
180015,indiemerch.com,open,open,open
180016,kxii.com,open,open,open
180017,learn101.org,open,open,open
180018,trafisz.com,open,open,open
180019,daydeal.ch,open,open,open
180020,toidutare.ee,open,open,open
180021,bilesuparadize.lv,open,open,open
180022,taotaojin.com,open,open,unknown
180023,shapedplugin.com,open,open,open
180024,gdenashel.ru,open,open,open
180025,88yunpan.com,open,open,open
180026,ecommerceexpo.co.uk,open,open,open
180027,filehungry.com,open,open,open
180028,radioworld.co.uk,open,blocked,open
180029,iwantporn.net,blocked,blocked,blocked
180030,diem25.org,open,open,open
180031,twinkteenboys.com,open,blocked,open
180032,gawao.com,open,open,open
180033,top.ucoz.ru,open,blocked,open
180034,flatimes.com,open,open,open
180035,visualgdb.com,open,open,open
180036,kolonial.no,open,open,open
180037,emovieposter.com,open,blocked,open
180038,taxprof.typepad.com,open,open,open
180039,myschoolanywhere.com,open,open,open
180040,tablets.pk,open,open,open
180041,nvidia.com.tw,open,open,open
180042,homefei.net,open,open,open
180043,azarnegah.ir,open,open,open
180044,routehappy.com,open,open,open
180045,93jiang.com,open,open,open
180046,ourats.com,open,open,open
180047,live-science.co.jp,open,open,open
180048,dehome.info,open,open,open
180049,yves-rocher.nl,open,open,open
180050,12bet.com,blocked,blocked,blocked
180051,azilen.com,open,open,open
180052,sgrh.com,open,open,open
180053,ebook-3000.com,open,open,open
180054,asiapacific.edu,open,open,open
180055,shrivinayakaastrology.com,open,open,open
180056,otakus.pe,open,open,open
180057,alibrush.com,open,open,open
180058,dramasdownload.com,open,open,open
180059,plentystars.com,open,open,open
180060,noburestaurants.com,open,open,open
180061,sebraemg.com.br,open,open,open
180062,worldnews15.com,open,open,open
180063,helpdeskdirect.net,open,open,open
180064,quangbaweb.edu.vn,open,open,open
180065,konkuk.ac.kr,open,open,open
180066,ogplanet.com,open,open,open
180067,catchupdates.com,open,open,open
180068,129u.com,open,open,open
180069,trust-guard.com,open,open,open
180070,zenquiz.net,open,open,open
180071,twsapp.com,open,open,unknown
180072,heymath.com,open,open,open
180073,chubu.ac.jp,open,open,open
180074,eimaimama.gr,open,open,open
180075,reviewloop.com,open,open,open
180076,trade-point.co.uk,open,open,open
180077,happyholi2016pics.in,open,open,open
180078,1001salles.com,open,open,open
180079,phraseexpress.com,open,open,open
180080,zenrooms.com,open,open,open
180081,newsch.net,open,open,open
180082,mitbbs.ca,open,open,open
180083,123notary.com,open,open,open
180084,priceintelligently.com,open,open,open
180085,lavocedeltrentino.it,open,open,open
180086,hamatata.com,open,open,open
180087,debian-handbook.info,open,open,open
