Rank,Site,SNI,HTTP,DNS
140001,nrs.com,open,open,open
140002,highwinds.com,open,open,open
140003,bonkersenergy.com,open,open,open
140004,flyroyalbrunei.com,open,open,open
140005,lukoil-masla.ru,open,open,open
140006,online-iep.com,open,open,open
140007,casino-ramses.com,open,open,open
140008,tjgpc.gov.cn,open,open,open
140009,kwm.com,open,open,open
140010,ezinemark.com,open,open,open
140011,oldiepornos.com,open,blocked,open
140012,onlinencr.com,open,open,open
140013,kobayogas.com,open,open,open
140014,bablorub.blogspot.ru,open,blocked,open
140015,gxzsks.org,open,open,open
140016,ocls.ca,open,open,open
140017,phoneintro.com,open,open,open
140018,walletsbagssale.com,open,open,open
140019,bydgoski.pl,open,open,open
140020,hkbea.com.cn,open,open,open
140021,zfvod.com,open,open,open
140022,oneamour.com,open,open,open
140023,weatherexpert.ru,open,open,open
140024,codeforhost.com,open,open,open
140025,mkdabbawala.com,open,open,open
140026,saintsfc.co.uk,open,open,unknown
140027,surveysmonkey.co,open,open,open
140028,movin925.com,open,blocked,open
140029,theatrepeople.com,open,open,open
140030,neotraveler.info,open,open,open
140031,xiangdang.net,open,open,open
140032,tunisiebooking.com,open,open,open
140033,dumauto.com,open,open,open
140034,edsystem.sk,open,open,open
140035,25431010.tw,open,open,open
140036,pbaballers.weebly.com,open,blocked,open
140037,store-can.appspot.com,open,open,open
140038,designerstalk.com,open,open,open
140039,utemplate.pro,open,open,open
140040,officerakuten.sharepoint.com,open,open,open
140041,solo10.com,open,open,open
140042,ure-sen.com,open,blocked,open
140043,sanadada.com,open,open,open
140044,xxxretroclips.com,open,blocked,open
140045,postmoney.com.br,open,open,open
140046,yufid.com,open,open,open
140047,corbettreport.com,open,open,open
140048,blogsearchengine.org,open,open,open
140049,videojet.com,open,open,open
140050,eucim.es,open,open,open
140051,temadnya.com,open,open,open
140052,gcn.net.br,open,open,open
140053,wunderbrow.com,open,open,open
140054,fast2earn.com,open,open,open
140055,aaharinternationalfair.com,open,open,open
140056,tiantangsan.tmall.com,open,open,open
140057,zrc-sazu.si,open,open,unknown
140058,bolia.com,open,open,open
140059,freitag.ch,open,open,open
140060,dl-pars.in,open,open,open
140061,ayaronline.ir,open,open,open
140062,smartshoot.com,open,open,open
140063,chatsat.mx,open,open,open
140064,fun48.com,open,open,open
140065,simplevacation.info,open,open,open
140066,nwaonline.com,open,open,open
140067,techintor.com,open,open,open
140068,longhaircareforum.com,open,blocked,open
140069,da-yin.com,open,open,open
140070,earnthenecklace.com,open,open,open
140071,mytaste.nl,open,open,open
140072,txclb.com,open,open,open
140073,the-new-lagoon.com,open,blocked,open
140074,vcampus.co,open,open,open
140075,fanat-shop.ru,open,open,open
140076,shogi1.com,open,open,open
140077,infoyunik.com,open,open,open
140078,avon.com.au,open,open,open
140079,calmac.co.uk,open,open,open
140080,pesiq.ru,open,open,open
140081,haymarket.com,open,open,open
140082,anapnet.com,open,open,open
140083,michigan-sportsman.com,open,open,open
140084,i24web.com,open,open,open
140085,nri.com,open,open,unknown
140086,wyyo.com,open,open,open
140087,zqzj.net,open,open,open
140088,yanjing.com.cn,open,open,open
140089,edgefxkits.com,open,open,open
140090,stickerstelegram.com,open,open,open
140091,ndc.org,open,open,open
140092,txtnation.com,open,open,open
140093,bonuslink.com.my,open,open,open
140094,rcshow.tv,open,open,open
140095,ripcurl.com,open,open,open
