Rank,Site,SNI,HTTP,DNS
15001,mendeley.com,open,open,open
15002,e-map.ne.jp,open,open,unknown
15003,startravel.com.tw,open,open,open
15004,hot-sex-tube.com,open,blocked,open
15005,vipvoice.com,open,open,open
15006,pornfuror.com,open,blocked,open
15007,7syb.com,open,open,open
15008,directadmin.com,open,open,open
15009,androidkade.com,open,open,open
15010,microsoftstore.com.cn,open,open,open
15011,almowaten.net,open,blocked,open
15012,fluidsurveys.com,open,open,open
15013,americanfunds.com,open,open,open
15014,sciaga.pl,open,open,open
15015,tradesparq.com,open,open,open
15016,goanimate.com,open,open,open
15017,freedesignfile.com,open,open,open
15018,pucp.edu.pe,open,open,open
15019,online.net,open,open,open
15020,allfreecrochet.com,open,open,open
15021,yout.com,open,open,open
15022,dndnha.com,open,open,open
15023,mega-uploading.com,open,open,open
15024,cbar.az,open,open,open
15025,applicantpro.com,open,open,open
15026,0374.pics,open,open,open
15027,rvfrm2006.com,open,open,open
15028,thedailymeal.com,open,open,open
15029,repairclinic.com,open,open,open
15030,livehouse.in,open,open,open
15031,pi49.com,open,open,open
15032,calvinklein.com,open,blocked,open
15033,ac-nantes.fr,open,open,open
15034,sambaporno.com,open,blocked,open
15035,maricopa.edu,open,open,open
15036,apple01.net,open,open,open
15037,yibada.com,open,open,open
15038,free-press-release.com,open,blocked,open
15039,shogakukan.co.jp,open,open,open
15040,ovkuse.ru,open,open,open
15041,groupon.my,open,open,open
15042,afsaran.ir,open,open,open
15043,goodfon.ru,open,blocked,open
15044,onihimechan.com,open,open,open
15045,jabirufun.com,open,open,open
15046,denofgeek.us,open,blocked,open
15047,abcmalayalam.com,open,open,open
15048,pornhubselect.com,open,blocked,open
15049,alahli.com,open,open,open
15050,livesport.cz,open,blocked,open
15051,oushinet.com,open,open,open
15052,telesurtv.net,open,open,open
15053,sda.it,open,open,unknown
15054,highpin.cn,open,open,open
15055,66704.com,open,open,open
15056,moex.com,open,open,open
15057,92926.com,open,open,unknown
15058,link-rise.com,open,open,open
15059,shomanews.com,open,open,open
15060,sportcategory.com,open,open,open
15061,gayroyal.com,open,blocked,open
15062,compressjpeg.com,open,open,open
15063,10khits.com,open,open,open
15064,jshoppers.com,open,open,open
15065,genbeta.com,open,blocked,open
15066,elshaab.org,open,open,open
15067,drivespark.com,open,open,open
15068,zserials.tv,open,open,open
15069,game5.com,open,open,open
15070,seoclerk.com,open,open,open
15071,allaboutvision.com,open,open,open
15072,osakagas.co.jp,open,open,open
15073,syoboi.jp,open,open,open
15074,stayfocusd.com,open,open,open
15075,healthequity.com,open,open,open
