Rank,Site,SNI,HTTP,DNS
130001,keiba.jp,open,open,open
130002,yahootwtrip.tumblr.com,blocked,blocked,blocked
130003,ulkucumedya.com,open,open,open
130004,piggybank.ng,open,open,open
130005,panelpulse.com,open,open,open
130006,shifting-gears.com,open,open,open
130007,seanwes.com,open,open,open
130008,qqj.cn,open,open,open
130009,theworld-aroundus.com,open,open,open
130010,jvillagefoundation.com,open,open,open
130011,agario.pw,open,open,open
130012,qiandai.com,open,open,open
130013,easyicon.cn,open,open,open
130014,9lives.be,open,open,open
130015,northstarcalifornia.com,open,open,open
130016,britishpathe.com,open,open,open
130017,betakeg.com,open,open,open
130018,vatti.com.cn,open,open,open
130019,dizilab.org,open,open,open
130020,vulkanoplayme.com,open,open,open
130021,apniclub.com,open,blocked,open
130022,myhbx.org,open,open,unknown
130023,crunchyfashion.com,open,open,open
130024,maserati.tmall.com,open,open,open
130025,homeessentials.co.uk,open,open,open
130026,dealgamed.com,open,open,open
130027,op.se,open,open,open
130028,bmw.co.za,open,open,open
130029,audi.ca,open,open,open
130030,kojikiniikiru.com,open,open,open
130031,iitmandi.ac.in,open,open,open
130032,iklangratiz.com,open,open,open
130033,apphp.com,open,open,open
130034,moneygrind.com,open,open,open
130035,vue.com,open,open,open
130036,relevance.com,open,open,open
130037,mabadi.in,open,open,open
130038,clubcooee.com,open,open,open
130039,dkms.de,open,open,open
130040,sinhawap.com,open,blocked,open
130041,bat1024.com,open,open,open
130042,2000wm.com,open,open,open
130043,tongyouxuetang.com,open,open,open
130044,nccptrai.gov.in,open,open,open
130045,feedbin.com,open,open,open
130046,homegallerystores.com,open,open,open
130047,cliparthut.com,open,open,open
130048,cardpaymentoptions.com,open,open,open
130049,3rbdr.net,open,open,open
130050,lyrishq.net,open,open,open
130051,huopao.com,open,open,open
130052,vikingofficial.com,open,open,open
130053,htmlinfos.com,open,open,open
130054,euthemians.com,open,open,open
130055,tabonline.co.za,open,open,unknown
130056,studyinsweden.se,open,open,open
130057,bestit.co,open,open,open
130058,rafed.net,open,open,open
130059,iospress.com,open,open,unknown
130060,sparkasse-hoexter.de,open,open,open
130061,riverside.ca.us,open,open,unknown
130062,greytalk.com,open,open,open
130063,ushendu.com,open,open,open
130064,lectiva.com,open,open,open
130065,eataly.net,open,open,open
130066,crbonline.gov.uk,open,open,open
130067,novelfeed.com,open,open,open
130068,epedu.fi,open,open,open
130069,yerevdekor.com,open,open,open
130070,paidearnmedia.com,open,open,open
130071,bilder-upload.eu,open,open,open
130072,agenzialavoro.tn.it,open,open,unknown
130073,gfk.de,open,open,unknown
130074,roguecu.org,open,open,open
130075,electronicsweekly.com,open,open,open
130076,autohello.cn,open,open,unknown
130077,topmoneyproject.com,open,open,unknown
130078,iturf.fr,open,open,open
130079,skilldevelopment.gov.in,open,open,open
130080,simplifiedlaws.com,open,open,open
130081,aksiyon.com.tr,open,open,open
130082,novaprolink.com.br,open,open,open
130083,direct-torrents.com,open,open,open
130084,wer-zu-wem.de,open,open,open
130085,funnygames.be,open,open,open
130086,saveonlaptops.co.uk,open,open,open
130087,stamplay.com,open,open,open
130088,kfcorder.com.tw,open,open,unknown
130089,udearroba.co,open,open,open
130090,dailydeportess.com,open,open,open
130091,gay69.in,open,blocked,open
130092,fujibikes.com,open,open,open
130093,dohainstitute.edu.qa,open,open,open
130094,whitsend.org,open,open,open
130095,homebusiness.ru,open,open,open
130096,megamotormadness.com,open,open,open
130097,eztcn.com,open,open,open
130098,gijon.es,open,open,open
130099,appnitro.com,open,open,open
130100,grupoa.com.br,open,open,open
130101,ffx.co.uk,open,open,open
