Rank,Site,SNI,HTTP,DNS
160001,omicsgroup.com,open,open,open
160002,hanfburg.de,open,open,open
160003,howoptimize.com,open,open,open
160004,boombo.ru,open,blocked,open
160005,androidtab.ru,open,open,open
160006,rihabnews.com,open,open,open
160007,tacticalforum.co.kr,open,open,open
160008,runningtothekitchen.com,open,open,open
160009,mrecic.gov.ar,open,open,open
160010,kettler.net,open,open,open
160011,bloggertemplatestore.com,open,open,open
160012,finnautoparts.ru,open,open,open
160013,melaniatrump.com,open,open,open
160014,paper-replika.com,open,open,open
160015,snpht.org,open,open,open
160016,allbanaadir.com,open,open,open
160017,fonaklas.blogspot.gr,open,blocked,open
160018,eapps.com,open,open,open
160019,delovia.fr,open,open,open
160020,celebridades.org,open,blocked,open
160021,mediadramas.com,open,open,open
160022,oruwebsite.com,open,open,open
160023,present.me,open,open,open
160024,chouf-chouf.com,open,open,open
160025,mapcorewards.com,open,open,open
160026,npcriz.ru,open,open,open
160027,fatpaint.com,open,open,open
160028,crazytechtricks.com,open,open,open
160029,scholarshipdb.net,open,open,open
160030,karike.com,open,open,open
160031,rcscomponents.kiev.ua,open,blocked,open
160032,davillage.com.tw,open,open,open
160033,ibisegypttours.com,open,open,open
160034,2009m.com,open,open,open
160035,bravo.am,open,blocked,open
160036,ivyro.net,open,open,open
160037,kdbdw.com,open,open,open
160038,realhitz4u.com,open,open,open
160039,solveigmm.com,open,open,open
160040,bibletools.org,open,blocked,open
160041,meforum.org,open,blocked,open
160042,namazzamani.net,open,open,open
160043,appinapps.com,open,open,open
160044,tamilsexstories.info,open,open,open
160045,dia.govt.nz,open,open,open
160046,stellenangebote.de,open,open,open
160047,straightfromthea.com,open,blocked,open
160048,devil-group.com,open,open,open
160049,flagpedia.net,open,open,open
160050,takhfifbaran.com,open,open,open
160051,karhfw.gov.in,open,open,open
160052,phim.in,open,blocked,open
160053,renault.be,open,open,open
160054,mond.jp,open,open,open
160055,eydap.gr,open,open,unknown
160056,komp-uroki.ru,open,open,open
160057,myreddot.de,open,open,open
160058,tanjand.livejournal.com,open,open,open
160059,ambient-mixer.com,open,open,open
160060,elabs5.com,open,open,open
160061,slt56.com,open,open,open
160062,seovalley.org,open,open,open
160063,mcversions.net,open,open,open
160064,gate-away.com,open,open,open
160065,mykoob.lv,open,open,open
160066,ebooksworld.in,open,open,open
160067,frasesparaface.com.br,open,open,open
160068,800-numbers.net,open,open,open
160069,hormel.com,open,open,open
160070,getfueled.com,open,open,open
160071,diariodaputaria.com,open,blocked,open
160072,panafoto.com,open,open,open
160073,bigfishaudio.com,open,open,open
160074,nuwannet.com,open,open,open
160075,telr.com,open,open,open
160076,generationiron.com,open,blocked,open
160077,contentle.com,open,open,open
160078,schoolbrains.com,open,open,open
