Rank,Site,SNI,HTTP,DNS
70001,smutindia.com,open,blocked,open
70002,parts.com,open,open,open
70003,tower-of-goetia.com,open,open,unknown
70004,malihu.gr,open,open,open
70005,bdchina.com,open,open,open
70006,careered.com,open,open,open
70007,white-pages.gr,open,open,open
70008,parentmap.com,open,open,open
70009,thefashionisto.com,open,blocked,open
70010,americancentury.com,open,open,open
70011,ouka.fi,open,open,open
70012,riffsy.com,open,open,open
70013,rapsio.com,open,open,open
70014,n200.com,open,open,open
70015,orbi.kr,open,open,open
70016,currenttime.tv,open,open,open
70017,rccl.com,open,open,open
70018,trendnet.com,open,open,open
70019,vsexshop.ru,blocked,blocked,blocked
70020,lerepairedesmotards.com,open,open,open
70021,obd-codes.com,open,open,open
70022,medicover.pl,open,open,open
70023,republicadeljuego.com,open,open,open
70024,psmk2.net,open,open,open
70025,haojue.com,open,open,open
70026,allposters.de,open,blocked,open
70027,goldenbirdsproject.ru,open,open,open
70028,ckck.tv,open,open,unknown
70029,tcl.tk,open,open,open
70030,lightstoneproperty.co.za,open,open,open
70031,calgarysun.com,open,open,open
70032,suvarnanews.tv,open,open,open
70033,suprnova.cc,open,open,open
70034,holidayinfo.cz,open,open,unknown
70035,iparts.pl,open,open,open
70036,playgirl.ne.jp,open,blocked,open
70037,plus1world.com,open,open,open
70038,obunedio.blogspot.com.tr,open,blocked,open
70039,astdn.ru,open,open,open
70040,mangofeed.com,open,open,open
70041,aplaceinthesun.com,open,open,open
70042,kinopolis.de,open,open,open
70043,wmrf.su,open,open,open
70044,footballfancast.com,open,open,open
70045,azdor.gov,open,open,open
70046,articlestars.com,open,open,open
70047,kedouba.com,open,open,open
70048,lapolar.cl,open,open,open
70049,theemiratesnetwork.com,open,open,open
70050,hays.com.au,open,open,open
70051,socialtools.me,open,open,open
70052,kachhua.com,open,open,open
70053,gharexpert.com,open,open,open
70054,talentedge.in,open,open,open
70055,erento.com,open,open,open
70056,direct-assurance.fr,open,open,open
70057,lovindublin.com,open,open,open
70058,mystore.lk,open,open,open
70059,funbull.com,open,open,open
70060,magnesianews.gr,open,open,open
70061,fukushima.lg.jp,open,open,unknown
70062,dramago.org,open,open,open
70063,antiquefarmhouse.com,open,open,open
70064,riseup.net,open,open,open
70065,tochigi.lg.jp,open,open,unknown
70066,convertpdftoword.net,open,open,open
70067,windsorstar.com,open,open,open
70068,pc-onlinegames.com,open,open,open
70069,nostalgie.fr,open,blocked,open
70070,xhamster9.com,open,blocked,open
70071,topseoinc.com,open,open,open
70072,caravan.kz,open,open,open
70073,janamtv.com,open,open,open
70074,spacenk.com,open,open,open
70075,webhostmu.com,open,open,open
70076,lpl.com,open,open,open
70077,databricks.com,open,open,open
70078,enty.jp,open,open,open
70079,marathonbet.co.uk,blocked,blocked,blocked
70080,shabakeh-mag.com,open,open,open
70081,newsday.co.zw,open,open,open
70082,slovoidilo.ua,open,open,open
70083,arezzo.com.br,open,open,open
70084,viporn.pl,open,blocked,open
70085,oldnavy.ca,open,open,open
70086,cambabe.me,open,blocked,open
70087,ncgseguros.com,open,open,open
70088,iwate-np.co.jp,open,open,unknown
70089,digitaldjtips.com,open,open,open
70090,100md.com,open,blocked,open
70091,applefcuonline.org,open,open,open
70092,sobhezagros.ir,open,open,open
70093,antarapos.com,open,open,open
70094,romcl.org,open,open,unknown
70095,smfanton.ru,open,open,open
70096,buh.ru,open,open,open
70097,zycg.gov.cn,open,open,open
70098,odt.co.nz,open,open,open
70099,novantmychart.org,open,open,open
70100,51idc.com,open,open,open
70101,turkishbusinessplatform.com,open,open,open
70102,nuevosoi.com.co,open,open,unknown
70103,lenagold.ru,open,open,open
70104,acumbamail.com,open,open,open
70105,fondoambiente.it,open,open,open
70106,filmi-hd.ru,open,blocked,open
70107,sibapal.com,open,blocked,open
70108,freesearchquick.com,open,open,open
