Rank,Site,SNI,HTTP,DNS
20001,komica.org,open,open,open
20002,iapps.im,open,open,open
20003,gravitytales.com,open,open,open
20004,keywordspy.com,open,open,open
20005,mothercare.com,open,open,open
20006,wumii.com,open,open,open
20007,doubleclickbygoogle.com,open,open,open
20008,szu.edu.cn,open,open,unknown
20009,myer.com.au,open,blocked,open
20010,fartrack.com,open,open,open
20011,nanapi.jp,open,open,open
20012,diariouno.com.ar,open,blocked,open
20013,japscan.com,open,open,open
20014,philips.ru,open,open,open
20015,eduk.com.br,open,open,open
20016,hermesworld.com,open,open,open
20017,bedetheque.com,open,blocked,open
20018,shoushang.com,open,open,open
20019,uqam.ca,open,open,open
20020,kraloyun.com,open,open,open
20021,mp3-crazy.com,open,open,open
20022,buffed.de,open,open,open
20023,getsatisfaction.com,open,open,open
20024,electrodepot.fr,open,open,open
20025,feelway.com,open,open,open
20026,libramemoria.com,open,open,open
20027,hkexpress.com,open,open,open
20028,123haitao.com,open,open,open
20029,moviestarplanet.pl,open,open,open
20030,csgowild.com,open,open,open
20031,xiangpi.com,open,open,open
20032,filecast.co.kr,open,open,open
20033,wonderfulfood.com.tw,open,open,open
20034,0355.pics,open,open,open
20035,tastemade.com,open,open,open
20036,andronavi.com,open,open,open
20037,haberkita.com,open,open,open
20038,omgubuntu.co.uk,open,open,open
20039,csu.edu.au,open,open,open
20040,66ys.tv,open,blocked,open
20041,eprocure.gov.in,open,open,open
20042,juegosipo.com,open,open,open
20043,cookingchanneltv.com,open,open,open
20044,punjab.gov.pk,open,open,open
20045,gotoassist.com,open,open,open
20046,wisebread.com,open,open,open
20047,thelearningodyssey.com,open,open,open
20048,tribalfusion.com,open,blocked,open
20049,rstudio.com,open,open,open
20050,weg.de,open,open,open
20051,photographylife.com,open,open,open
20052,promotebusinessdirectory.com,open,open,unknown
20053,registroelettronico.com,open,open,open
20054,zargan.com,open,open,open
20055,egynews.net,open,open,open
20056,durszlak.pl,open,open,open
20057,gafaa.com,open,open,open
20058,upyim.com,open,blocked,open
20059,vdoobv.com,open,open,open
20060,metroscubicos.com,open,open,open
20061,nujij.nl,open,open,open
20062,ab44.pw,open,open,unknown
20063,youpornbook.com,open,blocked,open
20064,monhyip.net,open,open,open
20065,pornoxota.com,open,blocked,open
20066,duplichecker.com,open,open,open
20067,ukinternetdirectory.net,open,open,open
20068,chupamobile.com,open,open,open
20069,mrormrspresident.com,open,open,open
20070,8notes.com,open,open,open
20071,flexteller.net,open,open,open
20072,fishersci.com,open,open,open
20073,kgw.com,open,open,open
20074,ebay.ch,open,open,open
20075,junrongdai.com,open,open,open
20076,turkcebilgi.com,open,open,open
20077,rubygems.org,open,open,open
20078,64rj.com,open,open,open
20079,minglebox.com,open,open,open
20080,monitorbacklinks.com,open,open,open
20081,orange.ro,open,open,open
20082,duxiu.com,open,open,open
20083,swesub.tv,open,open,open
20084,ticktick.com,open,open,open
20085,xs4all.nl,open,open,open
20086,allrecipes.co.uk,open,open,open
20087,freemeteo.gr,open,open,open
20088,moreofit.com,open,open,open
20089,chu.jp,open,open,open
20090,vectoropenstock.com,open,open,open
20091,newegg.ca,open,open,open
20092,pricespy.co.uk,open,open,open
20093,prostokvashino.ru,open,open,open
20094,yofrefile.com,open,open,open
20095,zqoo.com,open,open,open
20096,meizu.cn,open,open,open
20097,imobie.com,open,open,open
20098,flashx.host,open,open,open
20099,malaysiandigest.com,open,open,open
20100,lienminh360.vn,open,open,open
20101,ipa.go.jp,open,open,unknown
20102,bilna.com,open,open,open
20103,hessenschau.de,open,open,open
20104,brunch.co.kr,open,open,open
20105,pausepeople.com,open,open,open
20106,calend.ru,open,blocked,open
20107,casino.com,open,blocked,open
20108,ebitsu.net,open,open,open
20109,meraevents.com,open,open,open
20110,vodafone.pt,open,open,open
20111,tuliu.com,open,open,open
20112,ozmall.co.jp,open,open,open
20113,softbankbb.co.jp,open,open,open
20114,prefex.net,open,open,open
20115,gruppocarige.it,open,open,open
20116,gum-gum-streaming.com,open,open,open
20117,betcris.com,open,blocked,open
20118,frtya.com,open,open,open
20119,immigration.govt.nz,open,open,open
20120,naointendo.com.br,open,blocked,open
20121,kuyiso.com,open,open,open
20122,savedeo.com,blocked,blocked,blocked
20123,gamerescape.com,open,open,open
20124,reifefrauen.com,open,blocked,open
20125,competitivecyclist.com,open,open,open
20126,watchmygf.me,open,blocked,open
20127,jimmyjazz.com,open,open,open
20128,govulkan.net,open,open,open
20129,vip.de,open,open,open
20130,iwannawatch.to,open,blocked,open
20131,umkc.edu,open,open,open
20132,tcm.com,open,open,open
20133,bestgate.net,open,open,open
20134,explorimmo.com,open,open,open
20135,challonge.com,open,open,open
20136,peliculasio.com,open,open,open
20137,defencenews.in,open,open,open
20138,korben.info,open,open,open
20139,scholieren.com,open,open,open
20140,lafourchette.com,open,open,open
20141,onlinetvrecorder.com,open,open,open
20142,hegnar.no,open,open,open
20143,porntrex.com,open,blocked,open
20144,mangacity.co,open,open,open
20145,courrierinternational.com,open,open,open
20146,tongtool.com,open,open,open
20147,pornuj.cz,open,blocked,open
20148,tpu.ro,open,blocked,open
20149,icsi.edu,open,open,open
20150,1channel.ch,open,blocked,open
20151,mightydeals.com,open,open,open
20152,1websdirectory.com,open,open,open
20153,coolapk.com,open,open,open
20154,gogvo.com,open,open,open
20155,reddressboutique.com,open,open,open
20156,nanos.jp,open,open,open
20157,docs-engine.com,open,open,open
20158,nj.gov,open,open,open
20159,islandmob.com,open,open,open
20160,erozanmai.com,open,blocked,open
20161,msa.fr,open,open,open
20162,adsvlad.info,open,open,open
20163,subtitlecity.ir,open,open,open
20164,westmarine.com,open,open,open
20165,iluvcinema.in,open,open,open
20166,lolshipin.com,open,open,open
20167,ticketweb.com,open,open,open
20168,garnethill.com,open,open,open
20169,opark.com,open,open,open
20170,tobi.com,open,blocked,open
20171,tripadvisor.co.nz,open,open,open
20172,iata.org,open,open,open
20173,technodom.kz,open,open,open
20174,dab-bank.de,open,open,open
20175,boattrader.com,open,open,open
20176,ssllabs.com,open,open,open
20177,stb.ua,open,open,open
20178,scan.co.uk,open,open,open
20179,rcn.com,open,open,open
20180,webshopapp.com,open,open,open
20181,petharbor.com,open,open,open
20182,234.cn,open,open,open
