Rank,Site,SNI,HTTP,DNS
50001,cccd.edu,open,open,open
50002,meteor.ie,open,open,open
50003,adnimo.com,open,open,open
50004,birdex.cn,open,open,open
50005,darkorbit.com,open,open,open
50006,39cao.com,open,open,open
50007,oekotest.de,open,open,open
50008,shqiptarja.com,open,open,open
50009,protanki.tv,open,open,open
50010,3lr67y45.com,open,open,open
50011,lawyer.com,open,open,open
50012,jobsworld.pk,open,open,open
50013,dailyexcelsior.com,open,open,open
50014,ventureharbour.com,open,open,open
50015,lit-era.com,open,open,open
50016,royal-investments.net,open,open,open
50017,shanghairanking.com,open,open,unknown
50018,halliburton.com,open,open,open
50019,wpsitecare.com,open,open,open
50020,thecodinglove.com,open,open,open
50021,wakehealth.edu,open,open,open
50022,netouyonews.net,open,open,open
50023,naijagistlive.com,open,open,open
50024,getbase.com,open,open,open
50025,horseandhound.co.uk,open,open,open
50026,mp3freex.me,open,open,open
50027,bbpeoplemeet.com,open,blocked,open
50028,novojoy.com,open,open,open
50029,findeen.es,open,open,open
50030,yaraneh10.ir,open,open,open
50031,moreniche.com,open,open,open
50032,pingpang.info,open,open,open
50033,pokecommunity.com,open,open,open
50034,securly.com,open,open,open
50035,homevv.com,open,open,unknown
50036,iprimus.com.au,open,open,open
50037,softfy.com,open,open,open
50038,weargustin.com,open,open,open
50039,sell.ir,open,open,open
50040,underarmour.tmall.com,open,open,open
50041,primejailbait.com,open,blocked,open
50042,aeo.jp,open,open,open
50043,simpletaxindia.net,open,open,open
50044,americorps.gov,open,open,open
50045,googleeyespecs.com,open,open,open
50046,realme.govt.nz,open,open,open
50047,u-strasbg.fr,open,open,unknown
50048,moodfabrics.com,open,open,open
50049,listography.com,open,open,open
50050,djmaza.xyz,open,open,open
50051,verysmartbrothas.com,open,blocked,open
50052,teamgantt.com,open,open,open
50053,entertainmentdaily.co.uk,open,open,open
50054,recl.pw,open,open,unknown
50055,jrcigars.com,open,open,open
50056,zippypixels.com,open,open,open
50057,o2.sk,open,open,open
50058,venetobanca.it,open,open,open
50059,fo.ru,open,open,open
50060,shopjadid.ml,open,open,open
50061,firstnationalcc.com,open,open,open
50062,thedatingdivas.com,open,open,open
50063,thenewsnigeria.com.ng,open,open,open
50064,kaahe.org,open,open,open
50065,tutellus.com,open,open,open
50066,ibtimes.com.au,open,open,open
50067,georgiapower.com,open,open,open
50068,jenzeny.cz,open,blocked,open
50069,carolwrightgifts.com,open,open,open
50070,isthisyourvoucher.xyz,open,open,open
50071,doyoubuzz.com,open,open,open
50072,campus-web.jp,open,open,open
50073,rebelsport.com.au,open,open,open
50074,stormmediagroup.com,open,open,unknown
50075,evat.ir,open,open,open
50076,financista.com.br,open,open,open
50077,opentext.com,open,open,open
50078,midias.ru,open,open,open
50079,jadeedbook.blogspot.com,blocked,blocked,blocked
50080,companywiki.in,open,open,open
50081,nativeads.com,open,open,open
50082,qoinpro.com,open,open,open
50083,randaris-anime.net,open,open,open
50084,blogdelfotografo.com,open,open,open
50085,metroapps.in,open,open,open
50086,newhdwallpapers.in,open,blocked,open
50087,crystalbet.com,open,open,open
50088,petronas.com.my,open,open,open
50089,crossmap.com,open,open,open
50090,topys.cn,open,open,open
50091,firstnaukri.com,open,open,open
50092,terrambmsads.com,open,open,open
50093,ivona.com,open,open,open
50094,sogo-seibu.jp,open,open,open
50095,steam.com,open,open,open
50096,fromtexttospeech.com,open,open,open
50097,kia.co.uk,open,open,open
50098,frenchweb.fr,open,open,open
50099,applicateka.com,open,open,open
50100,v3.co.uk,open,open,open
50101,t-proj.org,open,open,open
50102,tripplite.com,open,open,open
50103,triodos.nl,open,open,open
50104,chicagobears.com,open,open,open
50105,dominos.fr,open,open,open
50106,japan-secure.com,open,open,open
50107,everywherepaycard.com,open,open,unknown
50108,agirc-arrco.fr,open,open,open
50109,cau.ac.kr,open,open,open
50110,oscar2016.ru,open,open,open
50111,parkwhiz.com,open,open,open
50112,satu8poker.com,open,open,open
50113,cineview.me,open,open,open
50114,scripts-seo.com,open,open,open
50115,hi.is,open,open,open
50116,travelbird.de,open,open,open
50117,asr24.com,open,open,open
50118,mydomain.com,open,open,open
50119,visaforchina.org,open,open,open
50120,beseed.ru,open,open,open
50121,sexmessenger.com,open,blocked,open
50122,cesgranrio.org.br,open,open,unknown
50123,myschoolbuilding.com,open,open,unknown
50124,forex-compare-brokers.com,open,open,open
50125,microad.jp,open,open,open
50126,ntvpara.com,open,open,open
50127,dex-trade.com,open,open,open
50128,suagm.edu,open,open,open
50129,propertyhunter.qa,open,open,open
50130,getjobber.com,open,open,open
50131,accesshollywood.com,open,blocked,open
50132,e-autotriti.gr,open,open,open
50133,ac-strasbourg.fr,open,open,unknown
50134,purebreak.com.br,open,blocked,open
50135,juchang.com,open,open,open
50136,300mbmovies4u.com,open,blocked,open
50137,helpr.in,open,open,open
50138,realfavicongenerator.net,open,open,open
50139,turnkeylinux.org,open,open,open
50140,emprestimo.eu,open,open,open
50141,teluguwap.asia,open,open,open
50142,jinx.com,open,open,open
50143,express.hr,open,open,open
50144,countrycallingcodes.com,open,open,open
50145,tabletpcreview.com,open,open,open
50146,the-gadgeteer.com,open,open,open
50147,inxporn.com,open,blocked,open
50148,surfory.com,open,open,open
50149,leonisa.com,open,blocked,open
50150,court.gov.ua,open,open,open
50151,resell-rights-weekly.com,open,open,open
50152,worldof-tanks.com,open,open,open
50153,growingio.com,open,open,open
50154,liberty.co.uk,open,open,open
50155,desispy.com,open,blocked,open
50156,lankachannel.co,open,open,open
50157,trvnews.com,open,open,open
50158,pronulled.com,open,open,open
50159,kinenote.com,open,open,open
50160,istio.com,open,open,open
50161,yunhou.com,open,open,open
50162,hipay.com,open,open,open
50163,oepm.es,open,open,open
50164,meedia.de,open,blocked,open
50165,vmusic.ir,open,open,open
50166,kopazar.com,open,open,open
50167,1080.net,open,open,open
50168,spot.ph,open,blocked,open
50169,pravosudje.hr,open,open,unknown
50170,bpmonline.com,open,open,open
50171,trustvox.com.br,open,open,open
50172,beyondthewhiteboard.com,open,open,open
50173,mediamint.com,open,open,open
50174,doctors-me.com,open,open,open
50175,mbarendezvous.com,open,open,open
50176,ahima.org,open,open,open
50177,hiroiro.com,open,blocked,open
50178,azhimukham.com,open,open,open
50179,indextop10.com,open,open,open
50180,cultbeauty.co.uk,open,open,open
50181,opusteno.rs,blocked,blocked,blocked
50182,nagasaki.jp,open,open,unknown
50183,mirkrestikom.ru,open,open,open
50184,mtbakervapor.com,open,open,open
50185,bgu.ac.il,open,blocked,open
50186,tj-l-tax.gov.cn,open,open,unknown
50187,11315.com,open,open,open
50188,missoulian.com,open,open,open
50189,look.co.uk,open,open,open
50190,loncat.in,open,open,open
50191,dogsnaturallymagazine.com,open,open,open
50192,7olm.org,open,open,open
50193,ucbweb.com,open,open,open
50194,biharcommercialtax.gov.in,open,open,open
50195,flowrestling.org,open,open,open
50196,abcam.com,open,open,open
50197,actionloversclub.com,open,open,unknown
50198,movie0k.com,open,open,open
50199,statisticshowto.com,open,open,open
50200,magicianwiz.net,open,open,unknown
50201,dubbedanime.net,open,open,open
50202,cadivi.gob.ve,open,open,unknown
50203,snackvox.com,open,open,open
50204,teraz.sk,open,open,open
50205,tracepartsonline.net,open,open,open
50206,simplybook.me,open,open,open
50207,bulkseotools.com,open,open,open
50208,mostlikedtags.com,open,blocked,open
50209,sexadulter.com,open,blocked,open
50210,yt2fb.com,open,open,open
50211,stoxos.gr,open,open,unknown
50212,allrecipes.fr,open,open,open
50213,repretel.com,open,open,open
50214,minedu.gov.gr,open,open,open
50215,lelynx.fr,open,open,open
50216,portlandgeneral.com,open,open,open
50217,uplds.com,open,open,open
50218,fishing.kiev.ua,open,blocked,open
50219,gizmiz.com,open,open,open
50220,camva.ir,open,open,open
50221,spredfast.com,open,open,open
50222,kootah.tv,open,open,open
50223,iransima.ir,open,open,open
50224,corpbanca.cl,open,open,unknown
50225,visitorlando.com,open,open,open
50226,warontherocks.com,open,open,open
50227,wpallimport.com,open,open,open
50228,paralink.com,open,open,open
50229,completesportsnigeria.com,open,open,open
50230,macmillan.org.uk,open,open,open
50231,topgear.com.ph,open,open,open
50232,dom2-fans.ru,open,open,open
50233,vgcats.com,open,open,open
50234,broadbandforum.co,open,open,open
50235,zarza.com,open,open,open
50236,musinsa.com,open,open,open
50237,publy.com,open,open,open
50238,roadscholar.org,open,open,open
50239,manga.life,open,open,open
50240,glclck.ru,open,open,open
50241,rosenheim24.de,open,open,open
50242,gq.com.au,open,blocked,open
50243,halloweencostumes.com,open,blocked,open
50244,edigitalplace.tv,open,open,open
50245,eic-av.com,open,blocked,open
50246,shasso.com,open,open,open
50247,seo-mayak.com,open,open,open
50248,localjobster.com,open,open,open
50249,bwin.be,open,open,open
50250,animeland.tv,open,open,open
50251,starkbros.com,open,open,open
50252,lebanon-sports.com,open,open,open
50253,wuestenrot.de,open,open,open
50254,havertys.com,open,open,open
50255,blackplanet.com,open,blocked,open
50256,194964.com,open,blocked,open
50257,meetic.be,open,blocked,open
50258,epuap.gov.pl,open,open,open
50259,cpmtup2016.org,open,open,unknown
50260,stokesentinel.co.uk,open,open,open
50261,ucs.br,open,open,open
50262,dnevniki-vampira.org,open,open,open
50263,fs15.lt,open,open,open
50264,karwei.nl,open,open,open
50265,poundland.co.uk,open,open,open
50266,photovisi.com,open,open,open
50267,petitgift.jp,open,open,open
50268,akky.mx,open,open,open
50269,kemendagri.go.id,open,open,open
50270,fornex.com,open,open,open
50271,ura-akiba.jp,open,blocked,open
50272,aurora.se,open,open,open
50273,fbschedules.com,open,open,open
50274,mydownloadtube.com,open,blocked,open
50275,technorms.com,open,open,open
50276,laiwujob.net,open,open,open
50277,thiraivideo.com,open,open,open
50278,byside.com,open,open,open
50279,aruljohn.com,open,open,open
50280,tokoone.com,open,open,open
50281,jitensha-hoken.jp,open,open,open
50282,liveat8.lk,open,open,open
50283,bebzol.com,open,blocked,open
50284,gtop100.com,open,open,open
50285,htysty.net,open,open,unknown
50286,alzheimers.org.uk,open,open,open
50287,egybest.co,open,open,open
50288,clipstudio.net,open,open,open
