Rank,Site,SNI,HTTP,DNS
60001,dictionaryboss.com,open,open,open
60002,1001golos.ru,open,open,open
60003,92tvshow.com,open,open,open
60004,cordobavende.com,open,open,open
60005,fcmb.com,open,open,open
60006,hilltopads.com,open,open,open
60007,crimerussia.ru,open,open,open
60008,schoolarabia.net,open,open,open
60009,mikesdotnetting.com,open,open,open
60010,nashvillescene.com,open,blocked,open
60011,ent-redefined.org,open,open,open
60012,4kong.com,open,open,open
60013,nutrislice.com,open,open,open
60014,myproana.com,open,open,open
60015,getcreditcardnumbers.com,open,open,open
60016,bogglesworldesl.com,open,open,open
60017,cloudaccess.net,open,open,open
60018,iroot.com,open,open,unknown
60019,milfsexytube.com,open,blocked,open
60020,iai-shop.com,open,open,open
60021,comsz.com,open,open,open
60022,anta.com,open,open,unknown
60023,coldplay.com,open,open,open
60024,fnal.gov,open,open,open
60025,soundersfc.com,open,open,open
60026,fullhdfilmizlebe.org,open,open,open
60027,apple-nic.com,open,open,open
60028,arredamento.it,open,open,open
60029,tstoaddicts.com,open,open,open
60030,okchanger.com,open,open,open
60031,whatuseek.com,open,open,open
60032,techterms.com,open,open,open
60033,iteso.mx,open,open,open
60034,nordnet.se,open,open,open
60035,watchcriclive.co.in,open,open,open
60036,euras.com,open,open,unknown
60037,fosta.co,open,open,open
60038,bancodeoccidente.com.co,open,open,unknown
60039,falcobio.com,open,open,open
60040,imgdrive.net,open,blocked,open
60041,saxo.com,open,blocked,open
60042,nice-anime.com,open,open,open
60043,waff.com,open,open,open
60044,aircraftspruce.com,open,open,open
60045,sengoku.co.jp,open,open,open
60046,fengdu100.com,open,blocked,open
60047,gfkmedia.co.uk,open,open,unknown
60048,game-tournaments.com,open,open,open
60049,check.wf,open,open,open
60050,soufeel.com,open,open,open
60051,socialengine.com,open,open,open
60052,skoleporten.dk,open,open,unknown
60053,shoebat.com,open,blocked,open
60054,tinypulse.com,open,open,open
60055,treffpunkt18.de,open,blocked,open
60056,staatsloterij.nl,open,open,open
60057,mydesy.com,open,open,open
60058,consumerfeedbacksite.com,open,open,open
60059,meineschufa.de,open,open,open
60060,lotterywest.wa.gov.au,open,open,open
60061,monoblog.ir,open,open,open
60062,muz-tv.ru,open,blocked,open
60063,impactbnd.com,open,open,open
60064,react.rocks,open,open,open
60065,mountaingoatsoftware.com,open,open,open
60066,yakaboo.ua,open,open,open
60067,ourfamilywizard.com,open,open,open
60068,e-postbank.bg,open,open,open
60069,all-in.de,open,open,open
60070,flix123.com,open,open,open
60071,careerjet.it,open,open,open
60072,kaumudiplus.com,open,open,open
60073,sno-isle.org,open,open,open
60074,equipmenttraderonline.com,open,open,open
60075,yakexi.org,open,open,unknown
60076,lms.ir,open,open,open
60077,coradrive.fr,open,open,open
60078,allposters.co.jp,open,open,open
60079,zagruzka-faila.ru,open,open,open
60080,hws.edu,open,open,open
60081,socialmedia.pk,open,open,open
60082,projectcarsgame.com,open,open,open
60083,heedyou.com,open,open,open
60084,apornstories.com,open,blocked,open
60085,politicalcompass.org,open,open,open
60086,styletv.com.cn,open,open,open
60087,sportsonearth.com,open,open,open
60088,iqnavigator.com,open,open,open
60089,kidblog.org,open,open,open
60090,yourhosting.nl,open,open,open
60091,usabilla.com,open,open,open
60092,one.org,open,open,open
60093,domaintyper.com,open,open,open
60094,smstexto.org,open,open,open
60095,cliquojeux.com,open,open,open
60096,pbnation.com,open,open,open
60097,sholay.in,open,open,open
60098,universe-trade.com,open,open,unknown
60099,nacionalloteria.com,open,open,open
60100,wowchevideo.com,open,open,open
60101,pelis24.net,open,blocked,open
60102,vote411.org,open,open,unknown
60103,state.ak.us,open,open,open
60104,datacenterknowledge.com,open,open,open
60105,aescripts.com,open,open,open
60106,penguin.com,open,open,open
60107,doucolle.net,open,open,open
60108,csn.edu,open,open,open
60109,masteringengineering.com,open,open,open
60110,victorinox.com,open,open,open
60111,imgban.com,open,blocked,open
60112,myshoe.gr,open,open,open
60113,riachuelo.com.br,open,open,open
60114,ghin.com,open,open,open
60115,paypal-nakit.com,open,open,open
60116,technonutty.com,open,open,open
