Rank,Site,SNI,HTTP,DNS
90001,xlri.ac.in,open,open,open
90002,temaeitamae.jp,open,open,open
90003,yydzh.com,open,open,open
90004,osnatel.de,open,open,open
90005,hugeninja.com,open,open,open
90006,patricinhaesperta.com.br,open,open,open
90007,todaywalkins.com,open,open,open
90008,calcinhamolhada.net,open,blocked,open
90009,pop-fashion.com,open,open,open
90010,heroesarcade.com,open,blocked,open
90011,nike.net,open,open,open
90012,okcoin.com,open,open,open
90013,puul.jp,open,open,open
90014,happymoneysaver.com,open,open,open
90015,pbfcomics.com,open,open,open
90016,0dsw.com,open,open,open
90017,quebueno.es,open,open,open
90018,wand.com,open,open,open
90019,khelabd.com,open,open,open
90020,imedi.ge,open,open,open
90021,html5boilerplate.com,open,open,open
90022,boxofficeticketsales.com,open,open,open
90023,scasset.com,open,open,open
90024,regreestr.com,open,open,open
90025,sisterclaire.com,open,open,open
90026,linkup.com,open,open,open
90027,ad2up.com,open,open,open
90028,bipfa.net,open,open,open
90029,globaltraver.com,open,open,open
90030,urbanarmorgear.com,open,open,open
90031,stitch.su,open,open,open
90032,caroute66.com,open,open,open
90033,alloyapparel.com,open,open,open
90034,miposicionamientoweb.es,open,open,open
90035,nhanhoa.com,open,open,open
90036,alle-immobilien.ch,open,open,open
90037,kcbbankgroup.com,open,open,open
90038,travelski.com,open,open,open
90039,fullcircle.com,open,open,open
90040,calendarioslaborales.com,open,open,open
90041,composite-sports-gear.com,open,open,open
90042,wooha.com,open,open,open
90043,compupaste.com,open,open,open
90044,desmume.org,open,open,open
90045,novosti.dn.ua,open,open,open
90046,shotbit.co.in,open,open,open
90047,alchemyapi.com,open,open,open
90048,astrohope.pk,open,open,open
90049,queenslibrary.org,open,open,open
90050,patugh.ir,open,open,open
90051,tamebay.com,open,open,open
90052,fgb.ae,open,open,open
90053,blueboard.cz,open,open,open
90054,qtv.com.cn,open,open,open
90055,homeoint.org,open,open,open
90056,fer2etak.com,open,open,open
90057,digitalcommerce.com,open,open,open
90058,afora.ru,open,open,open
90059,nabp.net,open,open,open
90060,nhp.com.cn,open,open,open
90061,hjsd888.com,open,open,open
90062,kia.com.tr,open,open,open
90063,put.poznan.pl,open,open,open
90064,dato.com,open,open,open
90065,usashopcn.com,open,open,open
90066,1form.com,open,open,open
90067,sda.gov.cn,open,open,unknown
90068,yixue99.com,open,open,open
90069,9carthai.com,open,open,open
90070,wardsauto.com,open,open,open
90071,chunkbase.com,open,open,open
90072,autoeconomy.com.cn,open,open,unknown
90073,kyotocitylib.jp,open,open,unknown
90074,users.atw.hu,open,open,open
90075,dragon-ball-super-streaming.com,open,open,open
90076,techniker-forum.de,open,open,open
90077,fcabianari.ir,open,open,open
90078,treca.org,open,open,open
90079,cnjrsh.com,open,open,open
90080,tvgid.org,open,open,open
90081,ableammo.com,open,open,open
90082,forextrend.pro,open,open,open
90083,statistics.sk,open,open,unknown
90084,hdwallpaperup.com,open,open,open
90085,avajava.com,open,open,open
90086,reliancelife.com,open,open,open
90087,hindimp3download.net,open,open,open
90088,mean.io,open,open,open
90089,emay.cn,open,open,open
90090,tunivisions.net,open,open,open
90091,jegy.hu,open,open,open
90092,zophar.net,open,open,open
90093,antesdelfin.com,open,open,open
90094,gndaily.com,open,open,open
90095,intechnic.com,open,open,open
90096,nejrecept.cz,open,open,open
90097,discountramps.com,open,open,open
90098,allaboutgod.com,open,blocked,open
90099,spotidoc.com,open,open,open
90100,0bbs.jp,open,open,open
90101,jiaodong.net,open,blocked,open
90102,openingceremony.us,open,open,open
90103,4823.com,open,open,open
90104,gunfire.pl,open,open,open
90105,overclockers.com.au,open,open,open
90106,hola.com.tw,open,open,unknown
90107,trovit.my,open,open,open
90108,techno.id,open,open,open
90109,oicqzone.com,open,open,open
90110,indianfoodforever.com,open,open,open
90111,threppa.com,open,blocked,open
90112,fiveslot777.com,open,open,open
90113,tvteka.com,open,open,open
90114,giocodigitale.it,open,open,open
90115,eprocessingnetwork.com,open,open,open
90116,police.hu,open,open,open
90117,kizitora.jp,open,open,open
90118,91lai.com,open,open,open
90119,iaun.ac.ir,open,open,open
90120,rhbtradesmart.com,open,open,open
90121,problogger.com,open,open,open
90122,toyota.co.za,open,open,open
90123,milecards.com,open,open,open
90124,zhtjhh.com,open,open,open
90125,newholland.com,open,open,open
90126,thelallantop.com,open,open,open
90127,noonoab.ir,open,open,open
90128,swiatkwiatow.pl,open,open,open
90129,abi.bo,open,open,open
90130,istiqlal.az,open,open,open
90131,gettyimagesbank.com,open,open,open
90132,homesnacks.net,open,open,open
90133,myfreemediacloud.com,open,open,open
90134,ufosightingsdaily.com,open,open,open
90135,goodluckbuy.com,open,open,open
90136,neomedrem.kz,open,open,open
90137,travelinformation.info,open,open,open
90138,722666.com,open,open,open
90139,enr.gov.eg,open,open,open
90140,e-japannavi.com,open,open,unknown
90141,adkontekst.pl,open,open,open
90142,naturalhealth365.com,open,open,open
90143,elanimeonline.com,open,open,open
90144,newsnextbd.com,open,open,open
90145,youzeek.com,open,blocked,open
90146,dizimvar.com,open,open,open
90147,periodicocorreo.com.mx,open,open,open
90148,beurettesvideo.com,open,blocked,open
90149,scor.dk,open,blocked,open
90150,parbon.com,open,open,open
90151,freepatriotpost.com,open,open,open
90152,tubesplash.com,open,blocked,open
90153,readthink.com,open,open,open
90154,xsubs.tv,open,open,open
90155,bovadapromotions.lv,open,open,unknown
90156,nanopool.org,open,open,open
90157,spplus.com,open,open,open
90158,scribie.com,open,open,open
90159,netelip.com,open,open,open
90160,jacksonandperkins.com,open,open,open
90161,woundedwarriorproject.org,open,open,open
90162,d-bomzh.ru,open,open,open
90163,ab126.com,open,open,open
90164,alonewalk.com,open,open,open
90165,aolplatforms.com,open,open,open
90166,tcz.pl,open,open,open
90167,85game.com,open,open,open
90168,canalvivo.com.ar,open,open,open
90169,joyce-shop.com,open,open,open
90170,icex.es,open,open,open
90171,nols.edu,open,open,open
90172,imsindia.com,open,open,open
90173,best-job2016.ru,open,open,open
90174,kntu.ac.ir,open,open,open
90175,northerntrust.com,open,open,open
90176,qoo-app.com,open,open,open
90177,nmt.cn,open,open,open
90178,discoverflow.co,open,open,open
90179,decidir.com,open,open,open
90180,mcdonalds.pl,open,open,open
90181,web3389.com,open,blocked,open
90182,lms.at,open,open,open
90183,motorsportreg.com,open,open,open
90184,triplebyte.com,open,open,open
90185,boxil.jp,open,open,open
90186,hd-music.info,open,open,open
90187,vooec.com,open,open,open
90188,hisu.org,open,open,open
90189,byregina.com,open,open,open
90190,turbus.cl,open,open,open
90191,nikka.com,open,open,open
90192,botanikecza.com,open,open,open
90193,bdotemplates.com,open,open,open
90194,bfsfcu.org,open,open,open
90195,qguys.ru,open,blocked,open
90196,cleanmama.net,open,open,open
90197,musefree.com,open,open,open
90198,romer.com.cn,open,open,open
90199,pornbits.net,open,blocked,open
90200,trib.com,open,open,open
90201,storebrand.no,open,open,open
90202,codingdojo.com,open,open,open
90203,javbit.net,open,blocked,open
90204,mrprintables.com,open,open,open
90205,verical.com,open,open,open
90206,hootlet.com,open,open,open
90207,hujum.com,open,open,open
90208,battery.com.cn,open,open,open
90209,iiyo.net,open,open,open
90210,moviles.com,open,open,open
90211,techxcite.com,open,open,open
90212,mommy-porno.com,open,blocked,open
90213,cooptotalsport.com,open,open,open
90214,pwcinternal.com,open,open,unknown
90215,artemisbet70.com,open,open,open
90216,ruyatabirleri.gen.tr,open,open,open
90217,namegenerator.biz,open,open,open
90218,scottslawnservice.com,open,open,open
90219,crownawards.com,open,open,open
90220,cardmanager.com,open,open,unknown
